pid,devorder
401,23
402,23
403,23
404,23
405,23
406,123
407,132
408,213
409,231
411,213
410,321
413,13
414,21
415,132
416,213
417,231
418,312
419,321
412,123
413,132
420,213
421,231
422,312
423,321
424,123
425,213
426,132
427,23
428,312
429,321
430,132
431,123
432,213
433,231
434,312
435,321
436,123
437,13
438,213
439,231
440,312
441,321
442,123
443,13
444,213
445,231
446,312
447,312
448,123
449,132
450,213
451,231
452,312
453,321
454,123
455,132
456,213
457,231
458,312
459,321
460,123
461,132
462,213
463,231
464,312
465,312
466,123
467,132
468,213
469,23
470,312
471,31
472,123
473,12
474,213
475,231
476,312
477,321
478,123
479,132
480,213
481,231
482,312
